containerId,id,name,type,vendor,triggers,raw
GTM-N26LKHCP,__fls,chkosale/dcosale,Floodlight Counter/Sales,Floodlight,99,"{""function"":""__fls"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""vtp_customVariable"":[""list"",[""map"",""key"",""u3"",""value"",[""macro"",14]],[""map"",""key"",""u5"",""value"",[""macro"",16]],[""map"",""key"",""u6"",""value"",[""macro"",17]],[""map"",""key"",""u7"",""value"",[""macro"",18]],[""map"",""key"",""u8"",""value"",[""macro"",19]]],""vtp_revenue"":[""macro"",13],""vtp_enableConversionLinker"":true,""vtp_countingMethod"":""TRANSACTIONS"",""vtp_enhancedUserData"":false,""vtp_orderId"":[""macro"",20],""vtp_enableProductReporting"":false,""vtp_groupTag"":""chkosale"",""vtp_useImageTag"":false,""vtp_activityTag"":""dcosale"",""vtp_conversionCookiePrefix"":""_gcl"",""vtp_advertiserId"":""9124178"",""vtp_countingMethodIsTransactions"":true,""vtp_url"":[""macro"",4],""vtp_enableGoogleAttributionOptions"":false,""vtp_showConversionLinkingControls"":true,""vtp_enableMatchIdVariable"":true,""vtp_enableSmartDestinationId"":true,""vtp_enableEventParameters"":true,""vtp_enableMerchantFeedVariables"":true,""tag_id"":99}"
GTM-N26LKHCP,__img,,Custom Image,Custom,107,"{""function"":""__img"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_useCacheBuster"":true,""vtp_url"":""https://b.videoamp.com/d2/e3e786af-3b0e-45ca-a177-5697a3da2b0f/5973/impression?bwb=35&vpxid=5973&dnt=false&cevt=HOMEPAGE"",""vtp_cacheBusterQueryParam"":""gtmcb"",""vtp_randomNumber"":[""macro"",3],""tag_id"":107}"
GTM-N26LKHCP,__sp,Adwords - Remarketing - MNPI,Google Ads Remarketing,Google Ads,109,"{""function"":""__sp"",""metadata"":[""map"",""name"",""Adwords - Remarketing - MNPI""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_enableConversionLinker"":true,""vtp_enableDynamicRemarketing"":false,""vtp_dataLayerVariable"":[""macro"",12],""vtp_conversionCookiePrefix"":""_gcl"",""vtp_conversionId"":""867912333"",""vtp_customParamsFormat"":""DATA_LAYER"",""vtp_conversionLabel"":""5g_WCNnB72sQjZXtnQM"",""vtp_rdp"":false,""vtp_enableOgtRmktParams"":true,""vtp_enableUserId"":true,""vtp_url"":[""macro"",4],""vtp_enableRdpCheckbox"":true,""vtp_enableSmartDestinationId"":true,""vtp_enableEventParameters"":true,""tag_id"":109}"
GTM-N26LKHCP,__flc,HMI - BGW - Howl O Scream - Tickets - UNQ,Floodlight Counter/Sales,Floodlight,135,"{""function"":""__flc"",""metadata"":[""map"",""name"",""HMI - BGW - Howl O Scream - Tickets - UNQ""],""consent"":[""list"",""ad_storage""],""vtp_enableConversionLinker"":true,""vtp_enhancedUserData"":false,""vtp_groupTag"":""tckts"",""vtp_useImageTag"":false,""vtp_activityTag"":""bgw-e0"",""vtp_ordinalType"":""UNIQUE"",""vtp_conversionCookiePrefix"":""_gcl"",""vtp_advertiserId"":""9124178"",""vtp_ordinalUnique"":""1"",""vtp_number"":[""macro"",3],""vtp_url"":[""macro"",4],""vtp_enableGoogleAttributionOptions"":false,""vtp_showConversionLinkingControls"":true,""vtp_enableMatchIdVariable"":true,""vtp_enableSmartDestinationId"":true,""vtp_enableEventParameters"":true,""tag_id"":135}"
GTM-N26LKHCP,__paused,,__paused,Other/Unknown,136,"{""function"":""__paused"",""vtp_originalTagType"":""html"",""tag_id"":136}"
GTM-N26LKHCP,__flc,"macro,26/macro,27",Floodlight Counter/Sales,Floodlight,153,"{""function"":""__flc"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""vtp_customVariable"":[""list"",[""map"",""key"",""u3"",""value"",[""macro"",23]]],""vtp_enableConversionLinker"":true,""vtp_enhancedUserData"":false,""vtp_groupTag"":[""macro"",26],""vtp_useImageTag"":false,""vtp_activityTag"":[""macro"",27],""vtp_ordinalType"":""STANDARD"",""vtp_conversionCookiePrefix"":""_gcl"",""vtp_advertiserId"":[""macro"",28],""vtp_ordinalStandard"":[""macro"",3],""vtp_url"":[""macro"",4],""vtp_enableGoogleAttributionOptions"":false,""vtp_showConversionLinkingControls"":true,""vtp_enableMatchIdVariable"":true,""vtp_enableSmartDestinationId"":true,""vtp_enableEventParameters"":true,""tag_id"":153}"
GTM-N26LKHCP,__fls,NMPI Remarketing - Display Conversion,Floodlight Counter/Sales,Floodlight,160,"{""function"":""__fls"",""metadata"":[""map"",""name"",""NMPI Remarketing - Display Conversion""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_customVariable"":[""list"",[""map"",""key"",""u10"",""value"",[""macro"",29]],[""map"",""key"",""u12"",""value"",""USD""],[""map"",""key"",""u15"",""value"",[""macro"",32]],[""map"",""key"",""u16"",""value"",[""macro"",33]]],""vtp_revenue"":[""macro"",34],""vtp_enableConversionLinker"":true,""vtp_countingMethod"":""TRANSACTIONS"",""vtp_enhancedUserData"":false,""vtp_orderId"":[""macro"",20],""vtp_enableProductReporting"":false,""vtp_groupTag"":""sales0"",""vtp_useImageTag"":false,""vtp_activityTag"":""seawo0"",""vtp_conversionCookiePrefix"":""_gcl"",""vtp_advertiserId"":""6258894"",""vtp_countingMethodIsTransactions"":true,""vtp_url"":[""macro"",4],""vtp_enableGoogleAttributionOptions"":false,""vtp_showConversionLinkingControls"":true,""vtp_enableMatchIdVariable"":true,""vtp_enableSmartDestinationId"":true,""vtp_enableEventParameters"":true,""vtp_enableMerchantFeedVariables"":true,""tag_id"":160}"
GTM-N26LKHCP,__cvt_188697223_57,,__cvt_188697223_57,Other/Unknown,171,"{""function"":""__cvt_188697223_57"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_customUrl"":"""",""vtp_partnerId"":""5369628"",""vtp_conversionId"":"""",""tag_id"":171}"
GTM-N26LKHCP,__cvt_188697223_57,Conversion 14099428,__cvt_188697223_57,Other/Unknown,174,"{""function"":""__cvt_188697223_57"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_customUrl"":"""",""vtp_partnerId"":""5338844"",""vtp_conversionId"":""14099428"",""tag_id"":174}"
GTM-N26LKHCP,__img,,Custom Image,Custom,188,"{""function"":""__img"",""metadata"":[""map""],""consent"":[""list"",""ad_storage""],""once_per_event"":true,""vtp_useCacheBuster"":true,""vtp_url"":[""template"",""https://px.gumgum.com/ad/conversion?cmp=14433&num=1&rnd="",[""escape"",[""macro"",36],12]],""vtp_cacheBusterQueryParam"":""gtmcb"",""vtp_randomNumber"":[""macro"",3],""tag_id"":188}"
